;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI526335;1024515-07;;;;;;;;;;243;243(Old ckt board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI526420;1024515-07;;;;;;;;;;243;243 w/RCO 932114 (Old ckt board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI526461;1024515-07;;;;;;;;;;243;243 w/RCO 932076 (Old ckt board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI679314;1024515-07;;;;;;;;;;243;243 w/RCO 932398 (Old ckt board)
;ISMT-III;(USMC) Trunk Line 2-position (1006210-01);;A011112;1006210-01;;;;;;;;;;243;243
;ISMT-III;(USMC) Trunk Line 2-position (1006210-01);;A046960;1006210-01;;;;;;;;;;243;243 SPARE
;ISMT-III;(USMC) Trunk Line 2-position (1006210-01);;A049781;1006210-01;;;;;;;;;;243;243
;ISMT-III;(USMC) UPS (Uninterruptible Power Supply) APC ;;S4B1321P35689;;;;;;;;;;;243;243
;ISMT-III;(USMC) Weapon Rack, Green 45 (UWRC4245);;ISMTGRN45WPN024;UWRC4245;;;;;;;;;;243;243
;ISMT-III;(USMC) Weapon Rack, Green 45 (UWRC4245);;ISMTGRN45WPN025;UWRC4245;;;;;;;;;;243;243
